Table Name,Field Name,Field Description
_MDD_JCT_CREDIBLE_ADDRESSES,Address State,
_MDD_JCT_CREDIBLE_ADDRESSES,Address Zip,
_MDD_JCT_CREDIBLE_ADDRESSES,Address County,
_MDD_JCT_CREDIBLE_ADDRESSES,Address Country,
_MDD_JCT_CREDIBLE_ADDRESSES,Address NPI Number,The National Provider Identifier ID of the individual.
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client ID,Unique ID of the Client.
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client Address Primary ID Fuzzy A0,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client Address Billing 1,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client Address Billing 2,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client Address Billing City,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client Address Billing State,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client Address Billing Zip,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client Address Billing County,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_BILLING,Client Address Billing Country,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client ID,Unique ID of the Client.
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client Address Primary ID Fuzzy A0,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client Address Primary 1,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client Address Primary 2,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client Address Primary City,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client Address Primary State,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client Address Primary Zip,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client Address Primary County,
_MDD_JCT_CREDIBLE_ADDRESSES_CLIENT_PRIMARY,Client Address Primary Country,
_MDD_JCT_CREDIBLE_AGENCY,Agency Domain,
_MDD_JCT_CREDIBLE_AGENCY,Agency ID,Unique ID of the Agency.
_MDD_JCT_CREDIBLE_AGENCY,Tab Label For Clients,
_MDD_JCT_CREDIBLE_AGENCY,Tab Label For Planner,
_MDD_JCT_CREDIBLE_AGENCY,Tab Label For Employee,
_MDD_JCT_CREDIBLE_AGENCY,Feature OnCall,
_MDD_JCT_CREDIBLE_AGENCY,Agency Name,
_MDD_JCT_CREDIBLE_AGENCY,Agency Name Label,
_MDD_JCT_CREDIBLE_AGE_GROUPS,Age,
_MDD_JCT_CREDIBLE_AGE_GROUPS,Age Group,A set of predefined age ranges used to group individuals into reporting categories.
_MDD_JCT_CREDIBLE_AGE_GROUPS,Age Group Sort Order,The order by which age groups are sorted in visualizations.
_MDD_JCT_CREDIBLE_AGE_GROUPS_CUSTOM,Floor,
_MDD_JCT_CREDIBLE_AGE_GROUPS_CUSTOM,Ceiling,
_MDD_JCT_CREDIBLE_AGE_GROUPS_CUSTOM,GroupName,
_MDD_JCT_CREDIBLE_AGE_GROUPS_CUSTOM,SortOrder,
_MDD_JCT_CREDIBLE_ANONYMOUS_CX,ID,"Source identifier key value used as the crosswalk input across client, appointment, and employee ID domains."
_MDD_JCT_CREDIBLE_ANONYMOUS_CX,Prox ID,Randomized anonymous identifier assigned to [ID] for de-identification.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment ID Universal,"The ID number guaranteed to be unique within its dataset, even when the expected ID based on field namne is repeated because the dataset intentionally unionizes multiple similar objects."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Tense ID,Unique ID of the Appointment Tense.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment ID,Unique ID of the Appointment.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Tense,"Describes a category of services: employee visit, scheduled and completed, incomplete, scheduled and not started, and scheduled future appointment."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Planner ID,Unique ID of the Planner.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Draft ID,Unique ID of the Appointment Draft.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Start,"The start of the time span, as a date or datetime value."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment End,"The end of the time span, as a date or datetime value."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Start Fiscal Year (YYYY),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Start Fiscal Year (FY YYYY),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Billable,"Indicates whether or not a time span is billable, typically a service."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Duration (Minutes),The duration of the time span in minutes.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Duration (Hours),The duration of the time span in hours.
_MDD_JCT_CREDIBLE_APPOINTMENTS,POS ID,Unique ID of the POS.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Created Date,The date the Appointment record was created.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Updated Date,The date the Appointment record was last updated.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Submitted Date,DO NOT USE.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Signed Date,The date which the given time span was signed.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Recipient ID,Unique ID of the Appointment Recipient.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Rate (Contract),The rate associated with the time span which has been contracted with a specific payer via an insurance plan.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Rate (Rate),The usual customary rate associated with the time span which has been contracted with a specific payer via an insurance plan.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Rate (Combined Rate),The combined rate associated with the time span which has been contracted with a specific payer via an insurance plan.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Rate (Cascaded),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Approved,"The approval status of the time span, typically by a supervisor."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Approved Date,The date of the approval.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Status,"The individual's status in the system, typically ""active"", ""inactive"", or ""pending"". The client status value as recorded."
_MDD_JCT_CREDIBLE_APPOINTMENTS,User ID,Unique ID of the User.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Entered Date,The date-time value when a record about the time span was enter into the system or created.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Created Fiscal Year,The organization's fiscal year that the entity was created.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Dx1,"The first diagnosis associated with the time span as determined by billing rules. If associated with a claim, this Dx is submitted to a Payer / Insurance."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Dx2,"The second diagnosis associated with the time span as determined by billing rules. If associated with a claim, this Dx is submitted to a Payer / Insurance."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Dx3,"The third diagnosis associated with the time span as determined by billing rules. If associated with a claim, this Dx is submitted to a Payer / Insurance."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Dx4,"The fourth diagnosis associated with the time span as determined by billing rules. If associated with a claim, this Dx is submitted to a Payer / Insurance."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Dx5,"The fifth diagnosis associated with the time span as determined by billing rules. If associated with a claim, this Dx is submitted to a Payer / Insurance."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Procedure Code,Either the Procedure Code CPT or Procedure Code HCPCS if only one or the other is provided.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Procedure Code HCPCS,The procedure code associated with the time span from the Center for Medicare and Medicaid Services's procedure code registry.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Procedure Code CPT,The procedure code associated with the time span from the American Medical Association's procedure code registry.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Procedure Code CPT Modifier 1,The first modifier for Procedure Code CPT.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Procedure Code CPT Modifier 2,The second modifier for Procedure Code CPT.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Procedure Code CPT Modifier 3,The third modifier for Procedure Code CPT.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Procedure Code CPT Modifier 4,The fourth modifier for Procedure Code CPT.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Is Recurrence,Indicates whether the time span is associated with a recurrence.
_MDD_JCT_CREDIBLE_APPOINTMENTS,User Hire Date,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID,Unique ID of the Client.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID Anonymous,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Enrollment ID,Unique ID of the Enrollment.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Tx Plan ID,Unique ID of the Tx Plan.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Bx ID,Unique ID of the Bx.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client ASC,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client DESC,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Enrollment-Type-ASC,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Enrollment-Type-DESC,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Type-ASC,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Type-DESC,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Enrollment-ASC,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Enrollment-DESC,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Link,The URL that will take the user directly to the entity described in the record.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Link Billing,A link directly to the billing screen in Credible for this service.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Form Version ID,Unique ID of the Form Version.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Family Split Primary ID,Unique ID of the Appointment Family Split Primary.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Type ID,Unique ID of the Appointment Type.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Type,"The name of the service type. This is how the agency refers to this service. Synonyms include visit type, visit description, service type, service description."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Type Name,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Type Paperwork Form ID,Unique ID of the Appointment Type Paperwork Form.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Form ID,Unique ID of the Form.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Type Exclude From Reminders,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Type Is Tx Plan,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Type Tx Setting,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Type Count Last 30 Days,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program ID,Unique ID of the Program.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program ID External,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Name,The name of the program in which the service took place.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Code,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Group Without Nulls,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Group,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Group > Name,"If the service's program is part of a program group, this is the name of the program group followed by the name of the program, separated with "">""."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Is Residential,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Tx Setting,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Revenue Code,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Created Date,The date the Program record was created.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Created Date Fiscal Year,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Created By Employee ID,Unique ID of the Program Created By Employee.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Updated Date,The date the Program record was last updated.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Updated Date Fiscal Year,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Updated By Employee ID,Unique ID of the Program Updated By Employee.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Active Episode Count,"Count of active program episodes associated with the program context carried on the appointment row. This can support service-delivery-oriented census analysis, especially when the user is interested in census through documented or billable encounters rather than enrollment paperwork."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Active Client Assignment Count,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Program Active Client Assignment Primary Count,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Start Date,The start of the end of the time span.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment End Date,The date of the end of the time span.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Start Date ID,Unique ID of the Appointment Start Date.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment End Date ID,Unique ID of the Appointment End Date.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Start Hour,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment End Hour,The hour the time span ends. Will be a range of 0-23.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Start Weekday,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment End Weekday,"The weekday the time span ends. Will be a range of 1-7, where 1 = Sunday."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time From Appointment Start To Today (Days),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time Appointment End To Approval (Hours),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time Appointment End To Approval (Days),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time Appointment Submitted To Approval (Hours),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time Appointment Submitted To Approval (Days),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time Appointment Signed To Approval (Hours),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time Appointment Signed To Approval (Days),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time Appointment Entered To Approval (Days),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time Appointment End To Entered (Days),
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Client Age In Years Old,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time From Enrollment to Service Start Days,"The time from the start of the enrollment to the start of a given service, in days."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time From Enrollment to Service Start Hours,"The time from the start of the enrollment to the start of a given service, in hours."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Time From Enrollment to Service Start Minutes,"The time from the start of the enrollment to the start of a given service, in minutes."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Enrollment-Type-ASC-ENG,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Enrollment-Type-DESC-ENG,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Type-ASC-ENG,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Sequence Client-Type-DESC-ENG,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Payer Primary ID,Unique ID of the Payer Primary.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Payer Primary Name,"The name of a payer or insurer that is primarily associated with the time span, typically associated with billing."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Payer Primary Type,"The type of a payer or insurer that is primarily associated with the time span, typically associated with billing."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Payer Current ID,Unique ID of the Payer Current.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Payer Current Name,"The name of a payer or insurer that is currently associated with the time span, typically associated with billing."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Payer Current Type,"The type of a payer or insurer that is currently associated with the time span, typically associated with billing."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Balance,"The current monetary amount due for the time span, typically a billable service."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Client Age Group In Years Old,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Appointment Client Age Group In Years Old Sort Order,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID External,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID Social Security Number,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID Fuzzy A2,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID JCT Fuzzy A0,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID JCT Fuzzy A1,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name First & Last,The client's name formatted as first and last.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name Last & First,"The client's name formatted as last, first."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name First & Last w/Initial,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name First & Last w/Initial & Client ID,Unique ID of the Client Name First & Last w/Initial & Client.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name Last & First w/Initial,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name Last & First w/Initial & Client ID,Unique ID of the Client Name Last & First w/Initial & Client.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name Middle,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name First,The client's first name.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Name Last,The client's last name.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Date of Birth,The client's date of birth.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Date of Death,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Admission Date,The date the client was admitted.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Admission Date Fiscal Year,The fiscal year of the client admission date.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Discharge Date,The date the client was discharged.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Discharge Date Fiscal Year,The fiscal year of the client discharge date.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Age in Hours,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Age in Days,The client's age expressed in days based on date of birth.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Age in Months,The client's age expressed in months based on date of birth.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Age in Years,The client's age expressed in years based on date of birth.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Age In Years Old Difference,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Status,The client status value as recorded.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Status ID,Unique ID of the Client Status.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Is Active,Indicates whether the client is active.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Is Inactive,Indicates whether the client is inactive.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Is Pending,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Visibility,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Ethnicity 1,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Ethnicity 1 ID,Unique ID of the Client Ethnicity 1.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Ethnicity 1 Granular,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Ethnicity 1 Granular ID,Unique ID of the Client Ethnicity 1 Granular.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Race 1,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Race 2,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Race 3,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Race 1 ID,Unique ID of the Client Race 1.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Race 2 ID,Unique ID of the Client Race 2.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Race 3 ID,Unique ID of the Client Race 3.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Race Granular,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Race Granular ID,Unique ID of the Client Race Granular.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Preferred Language,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Preferred Language ID,Unique ID of the Client Preferred Language.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Sex,"The client's sex as recorded. QuickMAR does not provide separate source fields for sex and gender, so this value is sourced from the same underlying field as [Client Gender]."
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Sex ID,Unique ID of the Client Sex.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Employment Status,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Employment Status ID,Unique ID of the Client Employment Status.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Gender Identity,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Gender Identity ID,Unique ID of the Client Gender Identity.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Marital Status,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Marital Status ID,Unique ID of the Client Marital Status.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Sexual Orientation,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Sexual Orientation ID,Unique ID of the Client Sexual Orientation.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Military Status,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Military Status ID,Unique ID of the Client Military Status.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Created Date,The date the Client record was created.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Updated Date,The date the Client record was last updated.
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Programs,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Teams,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Referral NPI,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Referral NPI Link,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Age Group,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Age Group Sort Order,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Age In Years Old,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID FA0,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client ID FA1,
_MDD_JCT_CREDIBLE_APPOINTMENTS,Client Link,
