Data Model Name,Table Name,Table Description
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_BOX_2,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_BOX_3,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_BOX_4,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_BOX_5,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_BOX_6,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_BOX_7,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_BOX_8,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_LBLS,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_SEQUENCE,One row per Appointment Signatures Sequence record in the Credible module (inferred from SQL table inventory).
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_SIGNATURES_VERSIONS,One row per Signature record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_TYPES,One row per Appointment Type record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_APPOINTMENT_TYPES_USERS,One row per Appointment Type record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_BILLING_CPT_CODES,One row per CPT Code record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_BILLING_CPT_MODIFIERS,One row per CPT Modifier record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_BILLING_GROUPS,One row per Billing Group record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENTEPISODE_VALUES,One row per Episode record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENTS,One row per Client record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENTS_EXT_VALUES,One row per Client record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENTS_EXT_VALUES_UNPIVOT,Special-case unpivot output table generated by the module unpivot procedure.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENTS_VALUES,One row per Client record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENTS_VALUES_UNPIVOT,Special-case unpivot output table generated by the module unpivot procedure.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_LAB_ACCESSIONS,"One row per Lab Accession record in the Credible module. This dataset is specific to lab-testing workflow and should primarily be used for lab orders, collected specimens, and lab-related activity rather than overall program census."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_LAB_FACILITIES,One row per Lab Facility record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_LAB_FACILITIES_ACCOUNTS,One row per Lab Account record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_LAB_TESTS,One row per Lab Test record in the Credible module. This dataset is specific to lab-testing workflow and should primarily be used for ordered or processed lab tests rather than overall program census.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_LAB_TEST_RESULTS,One row per Lab Test Result record in the Credible module. This dataset is specific to lab-testing workflow and should primarily be used for lab results and resulting lab activity rather than overall program census.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_LAB_TEST_TYPES,One row per Test Type record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_MEDS,One row per Medication record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,One row per Lab Order Item record in the Credible module. This dataset is specific to lab-order workflow and should primarily be used for lab order items and related testing activity rather than overall program census.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEM_DX,One row per Lab Item record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_RELATIONSHIP,"One row per relationship instance joining Orders, Lab Orders, Lab Order Items, and Order Items."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CLIENT_UNRESTRICTED,Credible-specific exception table that provides unredacted Client values by combining source Client and Client Info records so restricted clients do not appear with redacted placeholders in downstream module outputs.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CONTACTS,One row per Contact record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CREDENTIAL_GROUPS,One row per Credential Group record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CREDENTIAL_TYPES,One row per Credential record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_CUSTOM_FIELDS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX,One row per Diagnosis record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_CURRENT_PIVOT_UNPIVOT,Special-case unpivot output table generated by the module unpivot procedure.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_DATES,One row per Date record in the Credible diagnosis-date model.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_DAYS,"One row per relationship instance between Date, Dx Fingerprint, and Client."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_DOMAIN,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_EPISODES,One row per Dx Episode record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_EPISODE_BOOKEND_ENDS,One row per diagnosis episode end boundary.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_EPISODE_BOOKEND_STARTS,One row per diagnosis episode start boundary.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_FINGERPRINT,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_FINGERPRINT_SNAPSHOTS,"One row per relationship instance joining Client, Dx Snapshot, and Dx Fingerprint."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_NAMES,One row per Dx Names record in the Credible module (inferred from SQL table inventory).
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_SNAPSHOTS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_SNAPSHOTS_CURRENT,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_SNAPSHOTS_DISAPPEARED,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_SNAPSHOTS_HX,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_SNAPSHOTS_SEQ,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_DX_SNAPSHOT_DUPLICATES,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_EMAIL,One row per Email record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_EMPLOYEES_VALUES,One row per User record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_EMPLOYEE_CLIENT_ASSIGNMENT,"One row per relationship instance between User, Client, Program, and Role."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_EMPLOYEE_CLIENT_ASSIGNMENT_PRIMARY,One row per relationship instance between User and Client.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ENROLLMENTS,"One row per Enrollment record in the Credible module. This is an appropriate source for measuring program census from an enrollment, admission, or internal-paperwork perspective because it reflects whether a client is enrolled in a program regardless of whether a service was delivered."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ENROLLMENTS_LIKELY_ERR,One row per Enrollment record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ENROLLMENT_DAYS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_EXCLUDED_RECORDS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_EXCLUDED_RECORDS_CUSTOM,One row per excluded Record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FILES,One row per File record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FISCAL_PERIOD,One row per Fiscal Period record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORMS,One row per Form record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORM_ANSWERS_CLIENTS,One row per Answer record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORM_ANSWERS_CLIENTS_MULTISELECT,One row per Answer record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORM_ANSWERS_CLIENTS_MULTISELECT_NOTES,One row per Answer record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORM_ANSWERS_USERS,One row per Answer record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORM_ANSWERS_USERS_MULTISELECT,One row per Answer record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORM_ELEMENTS,One row per Element record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORM_PAGES,One row per Page record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_FORM_VERSIONS,One row per Form Version record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_IMMUNIZATIONS,One row per Immunization record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_INSURANCE_PLANS,One row per Insurance Plan record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_INSURANCE_PLANS_DAYS,"One row per relationship instance between Date, Fiscal Year, Client, Payer, and Insurance Plan."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_LOCATIONS,One row per service location/site record used for agency geography and operational location context.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_LOOKUP,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_METADATA,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ORDERS,One row per Order record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ORDERS_LABS,One row per Order Lab record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_ORDER_ITEMS,One row per Order Item record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PAYER,One row per Payer record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PAYER_CHIP,One row per Payer record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PAYER_TRICARE,One row per Payer record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PAYER_TYPES,One row per Payer Type record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PHONE,One row per Phone record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PHONE_CLIENT_HOME,One row per Client Phone record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PHONE_CLIENT_MOBILE,One row per Client Phone record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PLANNER_EPISODES,Relationship table that links planner events to the most plausible enrollment episode based on program alignment and timing windows.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_POS,One row per place-of-service billing code record used for CMS-style location coding in Credible.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PROGRAMS,One row per Program record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PROGRAM_MEMBERSHIP_CLIENTS,"One row per relationship instance between Clients and Programs. This dataset can support roster-style or census-style analysis of which clients are connected to which programs, but it represents program membership relationships rather than billable service delivery."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_PROGRAM_MEMBERSHIP_USERS,One row per relationship instance between Users and Programs.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RACE,One row per Race record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RACE_CLIENT_1,One row per Client Race record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RACE_CLIENT_2,One row per Client Race record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RACE_CLIENT_3,One row per Client Race record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RACE_CLIENT_4,One row per Client Race record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RECIPIENTS,One row per Recipient record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_BY_CLIENT_ASSIGNMENT,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_BY_CLIENT_ASSIGNMENT_WITH_SUP,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_BY_CREDIBLE_MIRROR,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_BY_CREDIBLE_MIRROR_WITH_SUP,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_BY_EMPLOYEE_SUPERVISOR,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_BY_PROGRAM_ASSIGNMENT,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_BY_PROGRAM_ASSIGNMENT_WITH_SUP,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_CLIENT_HIERARCHY,Relationship table that relates Client entities to RLS String entities.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_MIRROR_HIERARCHY,Relationship table that relates Client entities to RLS String entities.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_PROGRAM_HIERARCHY,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_SUPERVISORY_HIERARCHY,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_RLS_UPNS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_SCHEDULER,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_SUPERVISORY_RELATIONSHIPS,One row per relationship instance relating User to User to create hierarchy.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TEAMS,One row per Team record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TEAM_MEMBERSHIPS_USERS,One row per relationship instance between Users and Teams.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TXPLANS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TXPLAN_ANSWERS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TXPLAN_CONTENT,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TXPLAN_CONTENT_TYPES,One row per treatment-plan content type.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TXPLAN_DAYS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TXPLAN_ELEMENTS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TXPLAN_TXP_RELATIONSHIPS,"One row per relationship instance linking TxPlus Plans with TxPlus Problems, Goals, Objectives, and Interventions."
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_TXPLAN_TYPES,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_USERS,One row per User record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_USER_ASSIGNMENT_ACTIVE_PRIMARY,One row per relationship instance between Clients and Users.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_USER_CREDENTIALS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_USER_CREDENTIAL_GROUP_MEMBERSHIPS,One row per ? record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_USER_ROLES_CLINICAL,One row per Role record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_VITALS,One row per Vital record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_VITALS_CURRENT,One row per Vital record in the Credible module.
_MDD_JCT_CREDIBLE,_MDD_JCT_CREDIBLE_VITAL_MEASURES,One row per Vital record in the Credible module.
_MDD_JCT_CSS,_MDD_JCT_CSS_SURVEYS,One row per SurveyMonkey survey downloaded for CSS.
_MDD_JCT_CSS,_MDD_JCT_CSS_SURVEY_PAGES,One row per page within a CSS survey.
_MDD_JCT_CSS,_MDD_JCT_CSS_SURVEY_QUESTIONS,One row per question within a CSS survey.
_MDD_JCT_CSS,_MDD_JCT_CSS_SURVEY_SECTIONS,One row per presentation section header within a CSS survey.
_MDD_JCT_CSS,_MDD_JCT_CSS_SURVEY_ANSWER_CHOICES,One row per configured answer choice for a CSS survey question.
_MDD_JCT_CSS,_MDD_JCT_CSS_SURVEY_RESPONSES,One row per submitted CSS survey response.
_MDD_JCT_CSS,_MDD_JCT_CSS_SURVEY_QUESTION_RESPONSES,One row per answer to one CSS survey question within one submitted response.
_MDD_JCT_CSS,_MDD_JCT_CSS_PNP_SURVEY_RESPONSES,One row per submitted CSS survey response pivoted for the PnP dashboard.
_MDD_JCT_CSS,_MDD_JCT_CSS_PNP_SURVEY_QUESTION_RESPONSES,One row per CSS survey answer at the PnP dashboard scored-question grain.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_AGENCY,Tenant-level agency and Microsoft Entra organization details.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_USERS,One row per Microsoft Entra user account.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_GROUPS,One row per Microsoft Entra group.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_LOGINS,Microsoft Entra sign-in event history.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_MFA_DEFINITIONS,Reference definition for Microsoft Entra authentication method types and MFA risk/display semantics.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_AUTHENTICATION_METHODS,Configured authentication method for a Microsoft Entra user.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_USERS_MFA,User-by-MFA-method reporting status used to show configured and missing MFA methods.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_USER_GROUPS,"Relationship table joining Microsoft Entra users to groups, enriched with user and group attributes after SQL merge processing."
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_USER_GROUP_MEMBERSHIP_STATUS,Relationship-status matrix indicating whether each user is or is not a member of each group.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_USER_LOGIN_HISTORY_SUMMARY,Thirty-day login day count summarized by user.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_LINKS_USERS,Portal link for a Microsoft Entra user.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_LINKS_GROUPS,Portal link for a Microsoft Entra group.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_USERS_UNPIVOT,Technical unpivot-procedure output for the Microsoft Entra users table.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_GROUPS_UNPIVOT,Technical unpivot-procedure output for the Microsoft Entra groups table.
_MDD_JCT_ENTRA,_MDD_JCT_ENTRA_USERS_MFA_UNPIVOT,Technical unpivot-procedure output for the Microsoft Entra user MFA table.
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_CLIENTS,"One row per client (patient) in QuickMAR, tied to a specific location, also known as a Facility."
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_EMAR_OVERVIEW,One row per overview metric returned by QuickMAR for a location.
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_LOCATIONS,One row per QuickMAR location (a facility or site) that appears in the source data.
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_ORDERS,"One row per order in QuickMAR, with related client details merged in."
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_ORDER_EXCEPTIONS,A recorded medication/order exception event.
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_ORDER_ITEMS,"One row per order item in QuickMAR, with related order and client details merged in."
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_ORDER_MISSED,"One row per scheduled medication administration that is considered missed by module logic, with related order item and client details merged in."
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_TELEMETRY,"One row per captured QuickMAR API or ETL telemetry record used to understand API calls, statuses, and errors."
_MDD_JCT_QUICKMAR,_MDD_JCT_QUICKMAR_VITAL_MEASURES,"One row per vital measurement recorded in QuickMAR, with related client and order details merged in."
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_AGENCY,Represents Rippling legal entities as agencies for the Payroll / HRIS module.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_AGE_GROUPS,Provides configured reporting bands for whole-number ages.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_TENURE_GROUPS,Provides configured reporting bands for employee tenure in whole years.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_EMPLOYEES,"Canonical employee/staff record assembled from Rippling User and Worker data, employment type, department/cost-center data, tenure groupings, employee addresses, and row-level-security metadata."
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_ADDRESSES,Normalizes employee home and work addresses from Rippling User address objects into a common address entity.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_ADDRESSES_EMPLOYEE_HOME,Employee-only home-address projection used both as a persisted helper entity and as a source for fields merged into Employee.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_ADDRESSES_EMPLOYEE_WORK,Employee-only work-address projection used both as a persisted helper entity and as a source for fields merged into Employee.
